2017-08-07,EE0000730,"125 E ANAHEIM ST UNIT F,G,H",WILMINGTON,FA0025312,MOMMY'S NUTRITIONAL CENTER,CA,90744,A,OW0002485,"AMER, HANIEH AHMAD","FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,MOMMY'S NUTRITIONAL CENTER,ACTIVE,PR0032222,96,DAKHXYP3P,1,ROUTINE INSPECTION,mommy's nutritional center
2015-09-30,EE0000740,"4827 N HUNTINGTON DR # C,D&E",LOS ANGELES,FA0176887,ABC NUTRITIONAL CARE,CA,90032,A,OW0182881,MARIA LINDA IGNACIO,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",1613,ABC NUTRITIONAL CARE,ACTIVE,PR0169809,99,DAV0YXODJ,1,ROUTINE INSPECTION,abc nutritional care
2015-08-12,EE0000633,300 WORLD WAY,LOS ANGELES,FA0256153,DUTY FREE,CA,90045,A,OW0009843,DFS GROUP LP,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",1613,DUTY FREE,ACTIVE,PR0150929,99,DAJTTHKFB,1,ROUTINE INSPECTION,duty free
2017-11-22,EE0000366,1907 S ALAMEDA ST # 1,LOS ANGELES,FA0255988,WABA GRILL,CA,90058,A,OW0248794,"XYZ WABA, INC.",RESTAURANT (0-30) SEATS MODERATE RISK,1631,WABA GRILL,ACTIVE,PR0205726,95,DA9VF5JEZ,1,ROUTINE INSPECTION,waba grill
2017-12-27,EE0000329,17844 BELLFLOWER BLVD,BELLFLOWER,FA0255195,JAZZ MELODY THAI BBQ,CA,90706,A,OW0248229,KRITSANA GAY,RESTAURANT (0-30) SEATS HIGH RISK,1632,JAZZ MELODY THAI BBQ,ACTIVE,PR0204821,91,DASHFZSD2,1,ROUTINE INSPECTION,jazz melody thai bbq
2017-12-27,EE0000545,24453 MAGIC MOUNTAIN PKWY,SANTA CLARITA,FA0255164,JERSEY MIKE'S SUBS,CA,91355,A,OW0248204,JMMOY INC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,JERSEY MIKE'S SUBS,ACTIVE,PR0204789,90,DABNAF5BR,1,ROUTINE INSPECTION,jersey mike's subs
2017-12-07,EE0000260,14213 LAMBERT RD,WHITTIER,FA0252834,MOTHER MADE DONUTS,CA,90605,A,OW0246511,IM TEK UNG,RESTAURANT (0-30) SEATS MODERATE RISK,1631,MOTHER MADE DONUTS,ACTIVE,PR0202205,94,DAVF8XIJL,1,ROUTINE INSPECTION,mother made donuts
2017-12-27,EE0000956,1359 N ALTADENA DR,PASADENA,FA0252833,CAFE CULTURE,CA,91107,A,OW0246510,CAFE CULTURE FAIR TRADE LLC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,CAFE CULTURE,ACTIVE,PR0202204,97,DAADKFAYE,1,ROUTINE INSPECTION,cafe culture
2017-12-27,EE0000188,9208 FLAIR DR STE B,EL MONTE,FA0252830,THE DELI BOX,CA,91731,A,OW0246507,ESTHER BAEK,RESTAURANT (0-30) SEATS MODERATE RISK,1631,THE DELI BOX,ACTIVE,PR0202201,100,DAOB07T1K,1,ROUTINE INSPECTION,the deli box
2017-12-26,EE0000214,13355 VENTURA BLVD,SHERMAN OAKS,FA0252797,BOLLYWOOD BITES,CA,91423,A,OW0246487,"BOLLYWOOD BITES, INC",RESTAURANT (0-30) SEATS HIGH RISK,1632,BOLLYWOOD BITES,ACTIVE,PR0202158,90,DAF0F3KCI,1,ROUTINE INSPECTION,bollywood bites
2017-12-21,EE0000852,8030 VAN NUYS BLVD,PANORAMA CITY,FA0252767,BURGER KING # 1038,CA,91402,A,OW0244794,"HRG VALLEY GROUP, LLC",RESTAURANT (31-60) SEATS MODERATE RISK,1634,BURGER KING # 1038,ACTIVE,PR0202124,95,DACTNOWDL,1,ROUTINE INSPECTION,burger king
2017-12-28,EE0000260,14300 WHITTIER BLVD,WHITTIER,FA0252729,TOM N TOMS,CA,90605,A,OW0246440,TOM N TOM WHITTIER LLC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,TOM N TOMS,ACTIVE,PR0202085,96,DAHDT3E1B,1,ROUTINE INSPECTION,tom n toms
2017-12-28,EE0000206,12616 SHERMAN WAY,NORTH HOLLYWOOD,FA0252723,MCDONALD'S,CA,91605,A,OW0246327,HAFA MANAGEMENT COPORATION,RESTAURANT (0-30) SEATS MODERATE RISK,1631,MCDONALD'S,ACTIVE,PR0202063,96,DAXXYEK6Q,1,ROUTINE INSPECTION,mcdonald's
2017-12-20,EE0001014,4089 LINCOLN BLVD,MARINA DEL REY,FA0252720,BRENNAN'S,CA,90292,A,OW0242245,ARTISANAL BREWERS COLLECTIVE LLC,RESTAURANT (61-150) SEATS MODERATE RISK,1637,BRENNAN'S,ACTIVE,PR0202060,91,DAC8DFD5K,1,ROUTINE INSPECTION,brennan's
2017-12-19,EE0000232,729 E HUNTINGTON DR,MONROVIA,FA0252718,TJ MAXX #1510,CA,91016,A,OW0036006,"T.J. MAXX OF CA, LLC","FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,TJ MAXX #1510,ACTIVE,PR0202058,100,DA0MVGZPV,1,ROUTINE INSPECTION,tj maxx
2017-12-18,EE0000997,2608 E CESAR E CHAVEZ AVE,LOS ANGELES,FA0252700,LA REYNA MARKET,CA,90033-3006,A,OW0246417,DELMY G MOLINA,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,LA REYNA MARKET,ACTIVE,PR0202036,92,DAUEBV0EZ,1,ROUTINE INSPECTION,la reyna market
2017-12-20,EE0000957,8457 MELROSE AVE # C,WEST HOLLYWOOD,FA0252686,SEA SALT POKE,CA,90069,A,OW0246404,SEA SALT POKE INC.,RESTAURANT (0-30) SEATS HIGH RISK,1632,SEA SALT POKE,ACTIVE,PR0202022,96,DALCSHULX,1,ROUTINE INSPECTION,sea salt poke
2017-12-28,EE0000971,45216 10TH ST W,LANCASTER,FA0252679,ALTA CALIFORNIA FONDA,CA,93534,A,OW0246399,REYNALDO ESQUIVEL,RESTAURANT (0-30) SEATS HIGH RISK,1632,ALTA CALIFORNIA FONDA,ACTIVE,PR0202014,96,DA5RZ7OCL,1,ROUTINE INSPECTION,alta california fonda
2017-12-28,EE0000029,11636 ARTESIA BLVD,ARTESIA,FA0252675,HAK SAN MYUN OK,CA,90701,A,OW0246396,"TAE GLOBAL, INC",RESTAURANT (31-60) SEATS HIGH RISK,1635,HAK SAN MYUN OK,ACTIVE,PR0202009,96,DACHSILIK,1,ROUTINE INSPECTION,hak san myun ok
2017-12-15,EE0000018,14924 S WESTERN AVE,GARDENA,FA0252667,WESTERN PRODUCE MARKET,CA,90249,A,OW0246389,SARABJIT SINGH,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,WESTERN PRODUCE MARKET,ACTIVE,PR0202001,96,DAJARMPKN,1,ROUTINE INSPECTION,western produce market
2017-12-14,EE0000338,2215 WESTWOOD BLVD # D,LOS ANGELES,FA0252661,MARCO'S PIZZA,CA,90064,A,OW0246383,GOODFELLOWS III LLC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,MARCO'S PIZZA,ACTIVE,PR0201995,94,DALOMGHOR,1,ROUTINE INSPECTION,marco's pizza
2017-12-26,EE0000923,5711 N FIGUEROA ST,LOS ANGELES,FA0252653,AFTERS ICE CREAM,CA,90042-4201,A,OW0227003,BEFORES LLC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,AFTERS ICE CREAM,ACTIVE,PR0201986,99,DABNP8TKT,1,ROUTINE INSPECTION,afters ice cream
